ID_ND_NALEZ,IDX_ND_AKCE,DRUH,CESKE_JME,AUTOR,DATUM_OD,DATUM_DO,IDX_ND_LOK,LOKALITA,KOD_LOKALITY,SKUPINA,EVL,PROC_EVL,NEGATIVNI,IDX_ND_LOKALIZACE,MAX_PROC,POLE,DATUM,DEN,MESIC,ROK,kod_chu,nazev_chu,KOD_LOKAL,CILMON,POCITANO_CLEAN,STAV_IND,ID_IND,HOD_IND,TYP_IND,LIM_IND,JEDNOTKA,KLIC,UROVEN,pozn,LIM_INDLIST,IND_GRP
15794723,5605676,Rhinolophus hipposideros,vrápenec malý,Veselý Jaroslav#Čapek Jan#Sedláček Daniel#Novák Jiří#Tenčík Aleš#Špryňar Pavel,28.01.2012,28.01.2012,4944347,Svatý Jan pod Skalou - jeskyně V kostele,NA,Letouni,CZ0214017: Karlštejn - Koda,100,0,4944347,100,6050b,2012-01-28,28,1,2012,CZ0214017,Karlštejn - Koda,Svatý Jan pod Skalou - jeskyně V kostele,0,jedinci,1,CELKOVE_SUM,1,NA,NA,NA,NA,NA,NA,NA,NA
15794723,5605676,Rhinolophus hipposideros,vrápenec malý,Veselý Jaroslav#Čapek Jan#Sedláček Daniel#Novák Jiří#Tenčík Aleš#Špryňar Pavel,28.01.2012,28.01.2012,4944347,Svatý Jan pod Skalou - jeskyně V kostele,NA,Letouni,CZ0214017: Karlštejn - Koda,100,0,4944347,100,6050b,2012-01-28,28,1,2012,CZ0214017,Karlštejn - Koda,Svatý Jan pod Skalou - jeskyně V kostele,0,jedinci,1,POP_PRESENCE,ano,val,ano,přítomnost druhu,ano,lok,NA,ano,val
15794846,5605746,Rhinolophus hipposideros,vrápenec malý,Hejduk Jiří,26.01.2012,26.01.2012,4944378,Nové Město u Mikulova,NA,Letouni,CZ0424127: Východní Krušnohoří,100,0,4944378,100,5348a,2012-01-26,26,1,2012,CZ0424127,Východní Krušnohoří,Nové Město u Mikulova,0,jedinci,1,CELKOVE_SUM,1,NA,NA,NA,NA,NA,NA,NA,NA
15794846,5605746,Rhinolophus hipposideros,vrápenec malý,Hejduk Jiří,26.01.2012,26.01.2012,4944378,Nové Město u Mikulova,NA,Letouni,CZ0424127: Východní Krušnohoří,100,0,4944378,100,5348a,2012-01-26,26,1,2012,CZ0424127,Východní Krušnohoří,Nové Město u Mikulova,0,jedinci,1,POP_PRESENCE,ano,val,ano,přítomnost druhu,ano,lok,NA,ano,val
15794847,5605747,Rhinolophus hipposideros,vrápenec malý,Hejduk Jiří,26.01.2012,26.01.2012,4944378,Nové Město u Mikulova,NA,Letouni,CZ0424127: Východní Krušnohoří,100,0,4944378,100,5348a,2012-01-26,26,1,2012,CZ0424127,Východní Krušnohoří,Nové Město u Mikulova,0,jedinci,1,CELKOVE_SUM,1,NA,NA,NA,NA,NA,NA,NA,NA
15794847,5605747,Rhinolophus hipposideros,vrápenec malý,Hejduk Jiří,26.01.2012,26.01.2012,4944378,Nové Město u Mikulova,NA,Letouni,CZ0424127: Východní Krušnohoří,100,0,4944378,100,5348a,2012-01-26,26,1,2012,CZ0424127,Východní Krušnohoří,Nové Město u Mikulova,0,jedinci,1,POP_PRESENCE,ano,val,ano,přítomnost druhu,ano,lok,NA,ano,val
15803184,5610870,Rhinolophus hipposideros,vrápenec malý,Vlček Roman#Chvátal Petr,05.01.2012,05.01.2012,1258636,"Osek - štola ""Pod Stropníkem"" (S od zast. ČD)",NA,Letouni,CZ0424127: Východní Krušnohoří,100,0,1258636,100,5348c,2012-01-05,5,1,2012,CZ0424127,Východní Krušnohoří,"Osek - štola ""Pod Stropníkem"" (S od zast. ČD)",0,jedinci,1,CELKOVE_SUM,1,NA,NA,NA,NA,NA,NA,NA,NA
15803184,5610870,Rhinolophus hipposideros,vrápenec malý,Vlček Roman#Chvátal Petr,05.01.2012,05.01.2012,1258636,"Osek - štola ""Pod Stropníkem"" (S od zast. ČD)",NA,Letouni,CZ0424127: Východní Krušnohoří,100,0,1258636,100,5348c,2012-01-05,5,1,2012,CZ0424127,Východní Krušnohoří,"Osek - štola ""Pod Stropníkem"" (S od zast. ČD)",0,jedinci,1,POP_PRESENCE,ano,val,ano,přítomnost druhu,ano,lok,NA,ano,val
15803188,5610874,Rhinolophus hipposideros,vrápenec malý,Chvátal Petr#Hejduk Jiří,06.01.2012,06.01.2012,1256372,"Dlouhá Louka - štola, J od obce (u silnice na Osek)",NA,Letouni,CZ0424127: Východní Krušnohoří,100,0,1256372,100,5347d,2012-01-06,6,1,2012,CZ0424127,Východní Krušnohoří,"Dlouhá Louka - štola, J od obce (u silnice na Osek)",0,jedinci,1,CELKOVE_SUM,1,NA,NA,NA,NA,NA,NA,NA,NA
15803188,5610874,Rhinolophus hipposideros,vrápenec malý,Chvátal Petr#Hejduk Jiří,06.01.2012,06.01.2012,1256372,"Dlouhá Louka - štola, J od obce (u silnice na Osek)",NA,Letouni,CZ0424127: Východní Krušnohoří,100,0,1256372,100,5347d,2012-01-06,6,1,2012,CZ0424127,Východní Krušnohoří,"Dlouhá Louka - štola, J od obce (u silnice na Osek)",0,jedinci,1,POP_PRESENCE,ano,val,ano,přítomnost druhu,ano,lok,NA,ano,val
15803196,5610882,Rhinolophus hipposideros,vrápenec malý,Chvátal Petr#Hejduk Jiří,26.01.2012,26.01.2012,1229771,"Mikulov - štola 2 (Sv. Kříže), J od obce",NA,Letouni,CZ0424127: Východní Krušnohoří,100,0,1229771,100,5348a,2012-01-26,26,1,2012,CZ0424127,Východní Krušnohoří,"Mikulov - štola 2 (Sv. Kříže), J od obce",0,jedinci,1,CELKOVE_SUM,1,NA,NA,NA,NA,NA,NA,NA,NA
15803196,5610882,Rhinolophus hipposideros,vrápenec malý,Chvátal Petr#Hejduk Jiří,26.01.2012,26.01.2012,1229771,"Mikulov - štola 2 (Sv. Kříže), J od obce",NA,Letouni,CZ0424127: Východní Krušnohoří,100,0,1229771,100,5348a,2012-01-26,26,1,2012,CZ0424127,Východní Krušnohoří,"Mikulov - štola 2 (Sv. Kříže), J od obce",0,jedinci,1,POP_PRESENCE,ano,val,ano,přítomnost druhu,ano,lok,NA,ano,val
15803210,5610896,Rhinolophus hipposideros,vrápenec malý,Vlček Roman#Chvátal Petr,01.02.2012,01.02.2012,1227551,"Krupka - štola 3 (u borovice), S od obce (rev.Knédl)",NA,Letouni,CZ0424127: Východní Krušnohoří,100,0,1227551,100,5349a,2012-02-01,1,2,2012,CZ0424127,Východní Krušnohoří,"Krupka - štola 3 (u borovice), S od obce (rev.Knédl)",0,jedinci,1,CELKOVE_SUM,1,NA,NA,NA,NA,NA,NA,NA,NA
15803210,5610896,Rhinolophus hipposideros,vrápenec malý,Vlček Roman#Chvátal Petr,01.02.2012,01.02.2012,1227551,"Krupka - štola 3 (u borovice), S od obce (rev.Knédl)",NA,Letouni,CZ0424127: Východní Krušnohoří,100,0,1227551,100,5349a,2012-02-01,1,2,2012,CZ0424127,Východní Krušnohoří,"Krupka - štola 3 (u borovice), S od obce (rev.Knédl)",0,jedinci,1,POP_PRESENCE,ano,val,ano,přítomnost druhu,ano,lok,NA,ano,val
15803211,5610897,Rhinolophus hipposideros,vrápenec malý,Vlček Roman#Chvátal Petr,01.02.2012,01.02.2012,1227553,"Krupka - štola 1 (""Stříbrná""), S od obce (rev.Knédl)",NA,Letouni,CZ0424127: Východní Krušnohoří,100,0,1227553,100,5349a,2012-02-01,1,2,2012,CZ0424127,Východní Krušnohoří,"Krupka - štola 1 (""Stříbrná""), S od obce (rev.Knédl)",0,jedinci,1,CELKOVE_SUM,1,NA,NA,NA,NA,NA,NA,NA,NA
15803211,5610897,Rhinolophus hipposideros,vrápenec malý,Vlček Roman#Chvátal Petr,01.02.2012,01.02.2012,1227553,"Krupka - štola 1 (""Stříbrná""), S od obce (rev.Knédl)",NA,Letouni,CZ0424127: Východní Krušnohoří,100,0,1227553,100,5349a,2012-02-01,1,2,2012,CZ0424127,Východní Krušnohoří,"Krupka - štola 1 (""Stříbrná""), S od obce (rev.Knédl)",0,jedinci,1,POP_PRESENCE,ano,val,ano,přítomnost druhu,ano,lok,NA,ano,val
15803915,5611078,Rhinolophus hipposideros,vrápenec malý,Vlček Roman#Chvátal Petr#Benda Pavel,13.01.2012,13.01.2012,4948462,Dámská jeskyně,NA,Letouni,CZ0424111: Labské údolí,100,0,4948462,100,5151a,2012-01-13,13,1,2012,CZ0424111,Labské údolí,Dámská jeskyně,0,jedinci,1,CELKOVE_SUM,1,NA,NA,NA,NA,NA,NA,NA,NA
15803915,5611078,Rhinolophus hipposideros,vrápenec malý,Vlček Roman#Chvátal Petr#Benda Pavel,13.01.2012,13.01.2012,4948462,Dámská jeskyně,NA,Letouni,CZ0424111: Labské údolí,100,0,4948462,100,5151a,2012-01-13,13,1,2012,CZ0424111,Labské údolí,Dámská jeskyně,0,jedinci,1,POP_PRESENCE,ano,val,ano,přítomnost druhu,ano,lok,NA,ano,val
15803939,5611083,Rhinolophus hipposideros,vrápenec malý,Vlček Roman#Chvátal Petr#Benda Pavel,13.01.2012,13.01.2012,4948468,Jeskyně Přátel přírody,NA,Letouni,CZ0424111: Labské údolí,100,0,4948468,100,5151a,2012-01-13,13,1,2012,CZ0424111,Labské údolí,Jeskyně Přátel přírody,0,jedinci,1,CELKOVE_SUM,1,NA,NA,NA,NA,NA,NA,NA,NA
15803939,5611083,Rhinolophus hipposideros,vrápenec malý,Vlček Roman#Chvátal Petr#Benda Pavel,13.01.2012,13.01.2012,4948468,Jeskyně Přátel přírody,NA,Letouni,CZ0424111: Labské údolí,100,0,4948468,100,5151a,2012-01-13,13,1,2012,CZ0424111,Labské údolí,Jeskyně Přátel přírody,0,jedinci,1,POP_PRESENCE,ano,val,ano,přítomnost druhu,ano,lok,NA,ano,val
15803965,5611090,Rhinolophus hipposideros,vrápenec malý,Vlček Roman#Chvátal Petr#Benda Pavel,13.01.2012,13.01.2012,4948471,Jeskyně Nadějí,NA,Letouni,CZ0424111: Labské údolí,100,0,4948471,100,5151a,2012-01-13,13,1,2012,CZ0424111,Labské údolí,Jeskyně Nadějí,0,jedinci,1,CELKOVE_SUM,1,NA,NA,NA,NA,NA,NA,NA,NA
15803965,5611090,Rhinolophus hipposideros,vrápenec malý,Vlček Roman#Chvátal Petr#Benda Pavel,13.01.2012,13.01.2012,4948471,Jeskyně Nadějí,NA,Letouni,CZ0424111: Labské údolí,100,0,4948471,100,5151a,2012-01-13,13,1,2012,CZ0424111,Labské údolí,Jeskyně Nadějí,0,jedinci,1,POP_PRESENCE,ano,val,ano,přítomnost druhu,ano,lok,NA,ano,val
22633828,8130243,Rhinolophus hipposideros,vrápenec malý,Vlček Roman#Chvátal Petr#Benda Pavel,13.01.2012,13.01.2012,4951557,Krakonošova,NA,Letouni,CZ0424111: Labské údolí,100,0,4951557,100,5151a,2012-01-13,13,1,2012,CZ0424111,Labské údolí,Krakonošova,0,jedinci,1,CELKOVE_SUM,1,NA,NA,NA,NA,NA,NA,NA,NA
22633828,8130243,Rhinolophus hipposideros,vrápenec malý,Vlček Roman#Chvátal Petr#Benda Pavel,13.01.2012,13.01.2012,4951557,Krakonošova,NA,Letouni,CZ0424111: Labské údolí,100,0,4951557,100,5151a,2012-01-13,13,1,2012,CZ0424111,Labské údolí,Krakonošova,0,jedinci,1,POP_PRESENCE,ano,val,ano,přítomnost druhu,ano,lok,NA,ano,val
22633829,8130244,Rhinolophus hipposideros,vrápenec malý,Vlček Roman#Chvátal Petr#Benda Pavel,13.01.2012,13.01.2012,4951558,Netopýří jeskyně,NA,Letouni,CZ0424111: Labské údolí,100,0,4951558,100,5151a,2012-01-13,13,1,2012,CZ0424111,Labské údolí,Netopýří jeskyně,0,jedinci,1,CELKOVE_SUM,1,NA,NA,NA,NA,NA,NA,NA,NA
22633829,8130244,Rhinolophus hipposideros,vrápenec malý,Vlček Roman#Chvátal Petr#Benda Pavel,13.01.2012,13.01.2012,4951558,Netopýří jeskyně,NA,Letouni,CZ0424111: Labské údolí,100,0,4951558,100,5151a,2012-01-13,13,1,2012,CZ0424111,Labské údolí,Netopýří jeskyně,0,jedinci,1,POP_PRESENCE,ano,val,ano,přítomnost druhu,ano,lok,NA,ano,val
22633831,8130246,Rhinolophus hipposideros,vrápenec malý,Chvátal Petr#Benda Pavel,19.01.2012,19.01.2012,4951561,Mechová jeskyně,NA,Letouni,CZ0424111: Labské údolí,100,0,4951561,100,5151a,2012-01-19,19,1,2012,CZ0424111,Labské údolí,Mechová jeskyně,0,jedinci,1,CELKOVE_SUM,1,NA,NA,NA,NA,NA,NA,NA,NA
22633831,8130246,Rhinolophus hipposideros,vrápenec malý,Chvátal Petr#Benda Pavel,19.01.2012,19.01.2012,4951561,Mechová jeskyně,NA,Letouni,CZ0424111: Labské údolí,100,0,4951561,100,5151a,2012-01-19,19,1,2012,CZ0424111,Labské údolí,Mechová jeskyně,0,jedinci,1,POP_PRESENCE,ano,val,ano,přítomnost druhu,ano,lok,NA,ano,val
22633839,8130249,Rhinolophus hipposideros,vrápenec malý,Vlček Roman#Chvátal Petr#Hejduk Jiří#Patočka Jaroslav,16.02.2012,16.02.2012,4951563,Jezeří - štola,NA,Letouni,CZ0424127: Východní Krušnohoří,100,0,4951563,100,5447a,2012-02-16,16,2,2012,CZ0424127,Východní Krušnohoří,Jezeří - štola,0,jedinci,1,CELKOVE_SUM,1,NA,NA,NA,NA,NA,NA,NA,NA
22633839,8130249,Rhinolophus hipposideros,vrápenec malý,Vlček Roman#Chvátal Petr#Hejduk Jiří#Patočka Jaroslav,16.02.2012,16.02.2012,4951563,Jezeří - štola,NA,Letouni,CZ0424127: Východní Krušnohoří,100,0,4951563,100,5447a,2012-02-16,16,2,2012,CZ0424127,Východní Krušnohoří,Jezeří - štola,0,jedinci,1,POP_PRESENCE,ano,val,ano,přítomnost druhu,ano,lok,NA,ano,val
22634492,8130479,Rhinolophus hipposideros,vrápenec malý,Valda Slávek,25.02.2012,25.02.2012,4951646,Vojtěchov - pivovarské sklepy,NA,Letouni,CZ0214013: Kokořínsko,100,0,4951646,100,5553b,2012-02-25,25,2,2012,CZ0214013,Kokořínsko,Vojtěchov - pivovarské sklepy,0,jedinci,1,CELKOVE_SUM,1,NA,NA,NA,NA,NA,NA,NA,NA
22634492,8130479,Rhinolophus hipposideros,vrápenec malý,Valda Slávek,25.02.2012,25.02.2012,4951646,Vojtěchov - pivovarské sklepy,NA,Letouni,CZ0214013: Kokořínsko,100,0,4951646,100,5553b,2012-02-25,25,2,2012,CZ0214013,Kokořínsko,Vojtěchov - pivovarské sklepy,0,jedinci,1,POP_PRESENCE,ano,val,ano,přítomnost druhu,ano,lok,NA,ano,val
22635589,8130980,Rhinolophus hipposideros,vrápenec malý,Veselý Jaroslav#Sedláček Daniel#Novák Jiří#Paclík Michal,03.03.2012,03.03.2012,998588,Průtahová štola,NA,Letouni,CZ0214017: Karlštejn - Koda,100,0,998588,100,6050b,2012-03-03,3,3,2012,CZ0214017,Karlštejn - Koda,Průtahová štola,0,jedinci,1,CELKOVE_SUM,1,NA,NA,NA,NA,NA,NA,NA,NA
22635589,8130980,Rhinolophus hipposideros,vrápenec malý,Veselý Jaroslav#Sedláček Daniel#Novák Jiří#Paclík Michal,03.03.2012,03.03.2012,998588,Průtahová štola,NA,Letouni,CZ0214017: Karlštejn - Koda,100,0,998588,100,6050b,2012-03-03,3,3,2012,CZ0214017,Karlštejn - Koda,Průtahová štola,0,jedinci,1,POP_PRESENCE,ano,val,ano,přítomnost druhu,ano,lok,NA,ano,val
22636330,8131384,Rhinolophus hipposideros,vrápenec malý,Beran Luboš,02.03.2012,02.03.2012,968347,pivovarské sklepy Vojtěchov,NA,Letouni,CZ0214013: Kokořínsko,100,0,968347,100,5553b,2012-03-02,2,3,2012,CZ0214013,Kokořínsko,pivovarské sklepy Vojtěchov,0,jedinci,1,CELKOVE_SUM,1,NA,NA,NA,NA,NA,NA,NA,NA
22636330,8131384,Rhinolophus hipposideros,vrápenec malý,Beran Luboš,02.03.2012,02.03.2012,968347,pivovarské sklepy Vojtěchov,NA,Letouni,CZ0214013: Kokořínsko,100,0,968347,100,5553b,2012-03-02,2,3,2012,CZ0214013,Kokořínsko,pivovarské sklepy Vojtěchov,0,jedinci,1,POP_PRESENCE,ano,val,ano,přítomnost druhu,ano,lok,NA,ano,val
23350444,8198403,Rhinolophus hipposideros,vrápenec malý,Veselý Jaroslav#Sedláček Daniel#Kočí Karel#Čapek Jan,26.03.2012,26.03.2012,4977478,Suchdol v Moravském krasu - jeskyně Sedmnáctka,NA,Letouni,CZ0624130: Moravský kras,100,0,4977478,100,6666a,2012-03-26,26,3,2012,CZ0624130,Moravský kras,Suchdol v Moravském krasu - jeskyně Sedmnáctka,0,jedinci,1,CELKOVE_SUM,1,NA,NA,NA,NA,NA,NA,NA,NA
23350444,8198403,Rhinolophus hipposideros,vrápenec malý,Veselý Jaroslav#Sedláček Daniel#Kočí Karel#Čapek Jan,26.03.2012,26.03.2012,4977478,Suchdol v Moravském krasu - jeskyně Sedmnáctka,NA,Letouni,CZ0624130: Moravský kras,100,0,4977478,100,6666a,2012-03-26,26,3,2012,CZ0624130,Moravský kras,Suchdol v Moravském krasu - jeskyně Sedmnáctka,0,jedinci,1,POP_PRESENCE,ano,val,ano,přítomnost druhu,ano,lok,NA,ano,val
23350453,8198405,Rhinolophus hipposideros,vrápenec malý,Veselý Jaroslav#Sedláček Daniel#Kočí Karel#Čapek Jan,27.03.2012,27.03.2012,4977480,Suchdol v Moravském krasu - Němcova jeskyně,NA,Letouni,CZ0624130: Moravský kras,100,0,4977480,100,6666a,2012-03-27,27,3,2012,CZ0624130,Moravský kras,Suchdol v Moravském krasu - Němcova jeskyně,0,jedinci,1,CELKOVE_SUM,1,NA,NA,NA,NA,NA,NA,NA,NA
23350453,8198405,Rhinolophus hipposideros,vrápenec malý,Veselý Jaroslav#Sedláček Daniel#Kočí Karel#Čapek Jan,27.03.2012,27.03.2012,4977480,Suchdol v Moravském krasu - Němcova jeskyně,NA,Letouni,CZ0624130: Moravský kras,100,0,4977480,100,6666a,2012-03-27,27,3,2012,CZ0624130,Moravský kras,Suchdol v Moravském krasu - Němcova jeskyně,0,jedinci,1,POP_PRESENCE,ano,val,ano,přítomnost druhu,ano,lok,NA,ano,val
23350454,8198406,Rhinolophus hipposideros,vrápenec malý,Veselý Jaroslav#Sedláček Daniel#Kočí Karel#Čapek Jan,27.03.2012,27.03.2012,8250558,Nová Rasovna,NA,Letouni,CZ0624130: Moravský kras,100,0,8250558,100,6666b,2012-03-27,27,3,2012,CZ0624130,Moravský kras,Nová Rasovna,0,jedinci,1,CELKOVE_SUM,1,NA,NA,NA,NA,NA,NA,NA,NA
23350454,8198406,Rhinolophus hipposideros,vrápenec malý,Veselý Jaroslav#Sedláček Daniel#Kočí Karel#Čapek Jan,27.03.2012,27.03.2012,8250558,Nová Rasovna,NA,Letouni,CZ0624130: Moravský kras,100,0,8250558,100,6666b,2012-03-27,27,3,2012,CZ0624130,Moravský kras,Nová Rasovna,0,jedinci,1,POP_PRESENCE,ano,val,ano,přítomnost druhu,ano,lok,NA,ano,val
23409210,8221630,Rhinolophus hipposideros,vrápenec malý,Horáček Daniel,18.08.2012,18.08.2012,1337122,Jeskyně pod Kalichem,NA,Letouni,CZ0510191: Průlom Jizery u Rakous,100,0,1337122,100,5357c,2012-08-18,18,8,2012,CZ0510191,Průlom Jizery u Rakous,Jeskyně pod Kalichem,0,jedinci,1,CELKOVE_SUM,1,NA,NA,NA,NA,NA,NA,NA,NA
23409210,8221630,Rhinolophus hipposideros,vrápenec malý,Horáček Daniel,18.08.2012,18.08.2012,1337122,Jeskyně pod Kalichem,NA,Letouni,CZ0510191: Průlom Jizery u Rakous,100,0,1337122,100,5357c,2012-08-18,18,8,2012,CZ0510191,Průlom Jizery u Rakous,Jeskyně pod Kalichem,0,jedinci,1,POP_PRESENCE,ano,val,ano,přítomnost druhu,ano,lok,NA,ano,val
23421452,8224558,Rhinolophus hipposideros,vrápenec malý,Horáček Daniel,06.09.2012,06.09.2012,1336567,Jitrava - PR Velký Vápenný - Západní jeskyně,NA,Letouni,CZ0514667: Západní jeskyně,100,0,1336567,100,5255a,2012-09-06,6,9,2012,CZ0514667,Západní jeskyně,Jitrava - PR Velký Vápenný - Západní jeskyně,0,jedinci,1,CELKOVE_SUM,1,NA,NA,NA,NA,NA,NA,NA,NA
23421452,8224558,Rhinolophus hipposideros,vrápenec malý,Horáček Daniel,06.09.2012,06.09.2012,1336567,Jitrava - PR Velký Vápenný - Západní jeskyně,NA,Letouni,CZ0514667: Západní jeskyně,100,0,1336567,100,5255a,2012-09-06,6,9,2012,CZ0514667,Západní jeskyně,Jitrava - PR Velký Vápenný - Západní jeskyně,0,jedinci,1,POP_PRESENCE,ano,val,ano,přítomnost druhu,ano,lok,NA,ano,val
26451339,8505149,Rhinolophus hipposideros,vrápenec malý,Horáček Daniel,07.10.2012,07.10.2012,9874511,EVL Jičíněves - zámek,CZ0523675,Letouni,CZ0523675: Jičíněves - zámek,100,0,9874511,100,5658a,2012-10-07,7,10,2012,CZ0523675,Jičíněves - zámek,EVL Jičíněves - zámek,0,jedinci,1,CELKOVE_SUM,1,NA,NA,NA,NA,NA,NA,NA,NA
26451339,8505149,Rhinolophus hipposideros,vrápenec malý,Horáček Daniel,07.10.2012,07.10.2012,9874511,EVL Jičíněves - zámek,CZ0523675,Letouni,CZ0523675: Jičíněves - zámek,100,0,9874511,100,5658a,2012-10-07,7,10,2012,CZ0523675,Jičíněves - zámek,EVL Jičíněves - zámek,0,jedinci,1,POP_PRESENCE,ano,val,ano,přítomnost druhu,ano,lok,NA,ano,val
26451547,8505351,Rhinolophus hipposideros,vrápenec malý,Hanzal Vladimír#Veselý Jaroslav#Průcha Martin#Kovář Roman#Sedláček Daniel,06.10.2012,07.10.2012,5056052,Velká Amerika,NA,Letouni,CZ0213621: Štoly Velké Ameriky,100,0,5056052,100,6051a,2012-10-06,6,10,2012,CZ0213621,Štoly Velké Ameriky,Velká Amerika,0,samice,1,CELKOVE_SUM,1,NA,NA,NA,NA,NA,NA,NA,NA
26451547,8505351,Rhinolophus hipposideros,vrápenec malý,Hanzal Vladimír#Veselý Jaroslav#Průcha Martin#Kovář Roman#Sedláček Daniel,06.10.2012,07.10.2012,5056052,Velká Amerika,NA,Letouni,CZ0213621: Štoly Velké Ameriky,100,0,5056052,100,6051a,2012-10-06,6,10,2012,CZ0213621,Štoly Velké Ameriky,Velká Amerika,0,samice,1,POP_PRESENCE,ano,val,ano,přítomnost druhu,ano,lok,NA,ano,val
26505165,8519613,Rhinolophus hipposideros,vrápenec malý,Bartonička Tomáš#Šafář Jiří,29.01.2012,29.01.2012,5061282,Marie Sněžná - štola,156,Letouni,CZ0714772: Údolí Bystřice,100,0,5061282,100,6370a,2012-01-29,29,1,2012,CZ0714772,Údolí Bystřice,Marie Sněžná - štola,0,jedinci,1,CELKOVE_SUM,1,NA,NA,NA,NA,NA,NA,NA,NA
26505165,8519613,Rhinolophus hipposideros,vrápenec malý,Bartonička Tomáš#Šafář Jiří,29.01.2012,29.01.2012,5061282,Marie Sněžná - štola,156,Letouni,CZ0714772: Údolí Bystřice,100,0,5061282,100,6370a,2012-01-29,29,1,2012,CZ0714772,Údolí Bystřice,Marie Sněžná - štola,0,jedinci,1,POP_PRESENCE,ano,val,ano,přítomnost druhu,ano,lok,NA,ano,val
26505181,8519621,Rhinolophus hipposideros,vrápenec malý,Benda Pavel,13.01.2012,28.01.2012,5061293,kaňon Labe,359,Letouni,CZ0424111: Labské údolí,100,0,5061293,100,5151c,2012-01-13,13,1,2012,CZ0424111,Labské údolí,kaňon Labe,0,jedinci,1,CELKOVE_SUM,1,NA,NA,NA,NA,NA,NA,NA,NA
26505181,8519621,Rhinolophus hipposideros,vrápenec malý,Benda Pavel,13.01.2012,28.01.2012,5061293,kaňon Labe,359,Letouni,CZ0424111: Labské údolí,100,0,5061293,100,5151c,2012-01-13,13,1,2012,CZ0424111,Labské údolí,kaňon Labe,0,jedinci,1,POP_PRESENCE,ano,val,ano,přítomnost druhu,ano,lok,NA,ano,val
26505188,8519624,Rhinolophus hipposideros,vrápenec malý,Benda Pavel,02.02.2012,02.02.2012,5061296,Loubí - štola,29,Letouni,CZ0424141: Porta Bohemica,100,0,5061296,100,5251a,2012-02-02,2,2,2012,CZ0424141,Porta Bohemica,Loubí - štola,0,jedinci,1,CELKOVE_SUM,1,NA,NA,NA,NA,NA,NA,NA,NA
26505188,8519624,Rhinolophus hipposideros,vrápenec malý,Benda Pavel,02.02.2012,02.02.2012,5061296,Loubí - štola,29,Letouni,CZ0424141: Porta Bohemica,100,0,5061296,100,5251a,2012-02-02,2,2,2012,CZ0424141,Porta Bohemica,Loubí - štola,0,jedinci,1,POP_PRESENCE,ano,val,ano,přítomnost druhu,ano,lok,NA,ano,val
26505214,8519639,Rhinolophus hipposideros,vrápenec malý,Benda Pavel#Chvátal Petr#Franěk Borek,29.02.2012,29.02.2012,5061310,Olešnice - jeskyně,35,Letouni,CZ0424141: Porta Bohemica,100,0,5061310,100,5350b,2012-02-29,29,2,2012,CZ0424141,Porta Bohemica,Olešnice - jeskyně,0,jedinci,1,CELKOVE_SUM,1,NA,NA,NA,NA,NA,NA,NA,NA
26505214,8519639,Rhinolophus hipposideros,vrápenec malý,Benda Pavel#Chvátal Petr#Franěk Borek,29.02.2012,29.02.2012,5061310,Olešnice - jeskyně,35,Letouni,CZ0424141: Porta Bohemica,100,0,5061310,100,5350b,2012-02-29,29,2,2012,CZ0424141,Porta Bohemica,Olešnice - jeskyně,0,jedinci,1,POP_PRESENCE,ano,val,ano,přítomnost druhu,ano,lok,NA,ano,val
26505236,8519649,Rhinolophus hipposideros,vrápenec malý,Lemberk Vladimír,17.01.2012,17.01.2012,5061318,Kostelec nad Orlicí - sklep pod zámeckým skleníkem,339,Letouni,CZ0523009: Zámek v Kostelci nad Orlicí,100,0,5061318,100,5863c,2012-01-17,17,1,2012,CZ0523009,Zámek v Kostelci nad Orlicí,Kostelec nad Orlicí - sklep pod zámeckým skleníkem,0,jedinci,1,CELKOVE_SUM,1,NA,NA,NA,NA,NA,NA,NA,NA
26505236,8519649,Rhinolophus hipposideros,vrápenec malý,Lemberk Vladimír,17.01.2012,17.01.2012,5061318,Kostelec nad Orlicí - sklep pod zámeckým skleníkem,339,Letouni,CZ0523009: Zámek v Kostelci nad Orlicí,100,0,5061318,100,5863c,2012-01-17,17,1,2012,CZ0523009,Zámek v Kostelci nad Orlicí,Kostelec nad Orlicí - sklep pod zámeckým skleníkem,0,jedinci,1,POP_PRESENCE,ano,val,ano,přítomnost druhu,ano,lok,NA,ano,val
26505239,8519651,Rhinolophus hipposideros,vrápenec malý,Lemberk Vladimír#Růžička Milan,09.02.2012,09.02.2012,5061325,Lichnice - sklepení hradu,559,Letouni,CZ0530500: Lichnice - Kaňkovy hory,100,0,5061325,100,6159b,2012-02-09,9,2,2012,CZ0530500,Lichnice - Kaňkovy hory,Lichnice - sklepení hradu,0,jedinci,1,CELKOVE_SUM,1,NA,NA,NA,NA,NA,NA,NA,NA
26505239,8519651,Rhinolophus hipposideros,vrápenec malý,Lemberk Vladimír#Růžička Milan,09.02.2012,09.02.2012,5061325,Lichnice - sklepení hradu,559,Letouni,CZ0530500: Lichnice - Kaňkovy hory,100,0,5061325,100,6159b,2012-02-09,9,2,2012,CZ0530500,Lichnice - Kaňkovy hory,Lichnice - sklepení hradu,0,jedinci,1,POP_PRESENCE,ano,val,ano,přítomnost druhu,ano,lok,NA,ano,val
